track_id,title,alt_title,ethnic_group,subgroup,region,language,primary_theme,secondary_theme,emotion,secondary_emotion,usage_scene,imagery_keywords,performance_form,tempo,cultural_context,retrieval_notes,uncertainty_note,source_type,source_url,confidence_level,license_note,recording_type,audio_path,video_path
HN_01,吾处阿茨（栽秧山歌）,Wuchu Aci (Rice-Transplanting Mountain Song),哈尼族,,Yunnan Province; Honghe Hani and Yi Autonomous Prefecture; Honghe County (Puchun Village),Hani (hni),agriculture,community,joyful,peaceful,labor,rice_terrace;mountain;village;field;water,polyphonic,medium,"哈尼族多声部民歌是国家级非物质文化遗产（编号Ⅱ-30，2006年第一批），主要流传于云南省红河县普春村一带。《吾处阿茨》即栽秧山歌""，是哈尼族在梯田稻作劳动中演唱的多声部民歌，已采录到8个声部的原生形态，极为罕见。""","Rare 8-part polyphonic work song tied to Hani rice-terrace agriculture. Useful for queries about labor songs, polyphonic folk music, Yunnan ethnic music, and rice-terrace culture.",演唱时是否使用乐器伴奏因场合而异（有乐器伴奏与无乐器伴奏人声帮腔两种形式均存在），tempo标注为medium系基于劳动歌一般节奏的推断。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12471/,high,,song_entry,,
HN_02,情歌,Love Song,哈尼族,,Yunnan Province; Honghe Hani and Yi Autonomous Prefecture; Honghe County (Puchun Village),Hani (hni),courtship,nature,yearning,bittersweet,community_gathering,mountain;village;rice_terrace;forest;night,polyphonic,slow,哈尼族多声部民歌国家级非遗代表性曲目之一，与《吾处阿茨》并列。情歌内容赞美爱情，演唱场合多样，梯田、山林和村寨均可，体现哈尼族青年男女在山野田园间的情感表达。,"Hani polyphonic love song sung in mountain and village settings. Useful for queries about ethnic minority love songs, polyphonic courtship music, and Yunnan folk traditions. Specific performance form and tempo are inferred from the general polyphonic tradition.","曲目仅以""情歌""命名，具体演唱形式（独唱/对唱/合唱）及tempo无法从标题精确判断，slow系基于多声部情歌一般风格的推断。",intangible_heritage_registry,https://www.ihchina.cn/project_details/12471/,medium,,song_entry,,
DG_01,布谷催春,Cuckoo Heralds Spring,侗族,,贵州省黎平县（广西三江侗族自治县亦有传承）,Dong (doc),agriculture,nature,joyful,peaceful,community_gathering,cuckoo;spring;field;village;drum_tower,choral,medium,"侗族大歌（嘎老）是UNESCO人类非物质文化遗产代表作（2009年入选），为无伴奏、无指挥的多声部合唱，以众低独高""为声部组合原则。《布谷催春》以布谷鸟鸣声模拟春耕时节，是侗族大歌中自然声音歌的代表性曲目，常在节日聚会时于鼓楼中演唱。""",适合检索侗族大歌、春耕季节歌、自然声音模拟、无伴奏合唱、贵州少数民族音乐等关键词。,地区标注以黎平县为主，广西三江亦有同类传承，具体演唱地点无法从标题单独确定。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12466/,high,,song_entry,,
DG_02,蝉之歌,Song of the Cicada,侗族,,贵州省黎平县（广西三江侗族自治县亦有传承）,Dong (doc),nature,community,peaceful,joyful,community_gathering,cicada;summer;forest;village;drum_tower,choral,slow,侗族大歌代表性曲目，以模拟蝉鸣为核心声音意象，展现侗族人对自然声音的高度敏感与艺术转化能力。该曲常被选为侗族大歌对外展演的代表作，1994年及2001年春节晚会均有演出记录。,适合检索侗族大歌、自然声音歌、蝉鸣模拟、多声部合唱、人类非遗等关键词。,tempo标注为slow系基于侗族大歌声音歌悠长绵延风格的推断，具体速度因演唱团体而异。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12466/,high,,song_entry,,
MI_01,赞美家乡歌,Song in Praise of Hometown,苗族,,贵州省雷山县,Miao/Hmong (hmj),community,nature,joyful,peaceful,community_gathering,mountain;village;terraced_field;sky;homeland,solo,fast,苗族飞歌是国家级非物质文化遗产（贵州省雷山县），音调高亢嘹亮，适合在山间户外远距离传递声音。《赞美家乡歌》是飞歌代表性曲目，以五言诗句赞美家乡山水，主题鲜明，形式简短，多采用独唱形式演唱。,适合检索苗族飞歌、赞美家乡、高亢山歌、贵州苗族音乐、户外演唱等关键词。,飞歌可采用独唱、对唱或合唱，此处标注solo系基于飞歌最常见的独唱形式；tempo标注fast系基于飞歌高亢激昂的音乐风格推断。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12661/,high,,song_entry,,
MI_02,祝福老人歌,Blessing Song for the Elderly,苗族,,贵州省雷山县,Miao/Hmong (hmj),community,spirituality,solemn,joyful,ceremony,elder;village;blessing;mountain;festival,solo,medium,苗族飞歌代表性曲目，用于祝福长辈，体现苗族对老人的敬重与社区凝聚力。飞歌在苗族社会中广泛用于节庆、仪式及日常社交场合，以邀约亲朋、赞美对方、抒发胸臆为主要内容。,适合检索苗族飞歌、祝福歌、仪式歌曲、苗族社区音乐、贵州少数民族礼仪歌等关键词。,祝福老人的具体仪式场合（节庆/婚礼/日常）无法从标题单独确定，ceremony为推断；secondary_emotion joyful与solemn并存系基于祝福歌兼具庄重与喜庆的双重属性。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12661/,medium,,song_entry,,
MG_01,走马,Galloping Horse,蒙古族,,内蒙古自治区,Mongolian (khk),nature,community,energetic,joyful,festival,horse;grassland;steppe;sky;gallop,solo,fast,蒙古族长调民歌（乌日汀哆）是UNESCO人类非物质文化遗产代表作（2005年入选），国家级非遗编号Ⅱ-3。《走马》是长调代表性曲目，以马奔驰的意象展现蒙古族游牧文化中人与马的深厚情感，旋律悠长舒缓中带有奔放气息，常在那达慕等节庆场合演唱。,适合检索蒙古族长调、马歌、草原音乐、游牧文化、内蒙古民歌等关键词。,长调整体风格悠长舒缓，但《走马》以马为主题，节奏相对较快；tempo标注fast系相对于其他长调曲目的比较推断，绝对速度仍属长调范畴。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12410.html,high,,song_entry,,
MG_02,小黄马,Little Yellow Horse,蒙古族,,内蒙古自治区锡林郭勒盟,Mongolian (khk),nature,courtship,peaceful,yearning,festival,horse;grassland;steppe;yellow_horse;herder,solo,slow,"蒙古族长调代表性曲目，以小黄马为情感载体，表达牧民对马的深情与草原生活的眷恋。长调旋律极富装饰性，尤以诺古拉""（波折音）演唱方式最具特色，声多词少，气息绵长。""",适合检索蒙古族长调、马主题民歌、草原牧歌、锡林郭勒音乐、游牧情感表达等关键词。,《小黄马》流传地区据音乐地图资料指向锡林郭勒盟，但长调在内蒙古各地均有传唱，精确地区存在一定不确定性。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12410.html,medium,,song_entry,,
MG_03,辽阔的草原,The Vast Grassland,蒙古族,,内蒙古自治区（呼伦贝尔等地长调传统区域）,Mongolian (khk),nature,community,peaceful,yearning,festival,grassland;steppe;sky;horizon;wind,solo,slow,蒙古族长调代表性曲目，以辽阔草原为核心意象，展现蒙古族游牧民族对天地自然的深厚情感与哲思。长调集中体现了蒙古游牧文化的特色，与蒙古民族的语言、历史、生态观紧密相连。,适合检索蒙古族长调、草原歌曲、自然意象民歌、辽阔风格、内蒙古传统音乐等关键词。,曲目标注与呼伦贝尔长调传统相关，但无法从标题单独确认具体旗县；地区为推断性标注。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12410.html,medium,,song_entry,,
MG_04,辽阔富饶的阿拉善,The Vast and Fertile Alxa,蒙古族,,内蒙古自治区阿拉善盟,Mongolian (khk),community,nature,joyful,peaceful,festival,desert;grassland;oasis;Alxa;sky,solo,slow,蒙古族长调代表性曲目，以阿拉善地区为主题的地域赞歌，展现草原与荒漠交界地带的独特自然风貌与蒙古族对故土的深情。阿拉善长调风格与东部草原长调略有差异，融入了荒漠高原的苍茫气息。,适合检索蒙古族长调、地域赞歌、阿拉善音乐、草原荒漠风光、内蒙古西部民歌等关键词。,阿拉善地区标注来自非遗网曲目列表，地区归属明确；荒漠意象为基于地理特征的合理推断。,intangible_heritage_registry,https://www.ihchina.cn/project_details/12410.html,high,,song_entry,,
